model,scenario,Category
GEM-E3_V2021,EN_INDCi2030_1800f,C5
REMIND 1.6,EMF30_D_BCOC-Red,C7
GEM-E3_V2021,EN_INDCi2100_COV,C6
GEM-E3_V2021,EN_INDCi2100_COV_NDCp,C6
GEM-E3_V2021,EN_INDCi2100_NDCp,C6
GEM-E3_V2021,EN_NPi2020_1800,C5
GEM-E3_V2021,EN_NPi2020_1800f,C5
IMAGE 3.0.1,EMF30_D_Frozen-CH4,C7
REMIND 1.6,EMF30_BCOC-EndU,C7
EPPA 6,Ref,C7
REMIND 1.7,CEMICS-Ref,C7
IMAGE 3.0,CO_GPP,C5
REMIND 1.6,EMF30_D_Frozen-EF-EndU,C7
IMAGE 3.0,EN_INDCi2030_1400,C5
IMAGE 3.0,EN_INDCi2030_3000,C6
IMAGE 3.0,EN_INDCi2030_3000f,C6
REMIND-Buildings 2.0,BEG-Base,C7
IMAGE 3.0,EN_NPi2020_3000,C6
IMAGE 3.0,EN_NPi2020_3000f,C6
IMAGE 3.0.1,SSP2-Baseline,C7
IMAGE 3.0.2,EMF33_Baseline,C7
IMAGE 3.0.1,ADVANCE_2020_Med2C,C4
IMAGE 3.0.1,ADVANCE_INDC,C6
IMAGE 3.0.1,EMF30_BCOC-EndU,C7
IMAGE 3.0.1,EMF30_D_Frozen-EF-EndU,C7
IMAGE 3.0.1,ADVANCE_NoPolicy,C7
REMIND-Buildings 2.0,BEG-EG,C7
IMAGE 3.0.1,CD-LINKS_NoPolicy,C7
MESSAGE-GLOBIOM 1.0,EMF30_BCOC-EndU,C7
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NoPolicy,C7
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF,C7
MESSAGE-GLOBIOM 1.0,EMF30_Baseline,C7
MESSAGE-GLOBIOM 1.0,EMF30_D_BCOC-Red,C7
IMAGE 3.2,SSP3-baseline,C7
IMAGE 3.0,CO_BAU,C7
IMAGE 3.0,EN_NoPolicy,C7
MESSAGE-GLOBIOM 1.0,EMF33_Baseline,C7
IMAGE 3.0.1,EMF30_Baseline,C7
IMAGE 3.0.1,EMF30_Slower-Action,C6
IMAGE 3.0.1,EMF30_Slower-Action+SLCF,C6
IMAGE 3.0.1,SSP1-45,C6
IMAGE 3.0.1,EMF30_D_BCOC-Red,C7
IMAGE 3.0.1,SSP2-34,C5
IMAGE 3.0.1,SSP2-45,C6
MESSAGE-GLOBIOM 1.0,SSP2-Baseline,C7
POLES ADVANCE,ADVANCE_NoPolicy,C7
IMAGE 3.0.1,SSP3-34,C5
IMAGE 3.0.1,SSP3-45,C6
REMIND-MAgPIE 2.1-4.2,EN_NoPolicy,C7
REMIND 2.1,R2p1_SSP2-Base,C7
IMAGE 3.0.1,SSP4-34,C5
IMAGE 3.0.1,SSP4-45,C6
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_max_GDP,C7
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF,C7
IMAGE 3.0.1,SSP5-34,C5
IMAGE 3.0.1,SSP5-45,C6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,C7
IMAGE 3.0.1,SSP5-Baseline,C8
WITCH-GLOBIOM 4.2,EMF30_SLCF,C7
IMAGE 3.0.2,EMF33_Med2C_cost100,C5
IMAGE 3.0.2,EMF33_Med2C_full,C5
IMAGE 3.0.2,EMF33_Med2C_limbio,C5
IMAGE 3.0.2,EMF33_Med2C_nobeccs,C4
IMAGE 3.0.2,EMF33_Med2C_nofuel,C4
IMAGE 3.0.2,EMF33_Med2C_none,C4
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3
MESSAGE-GLOBIOM 1.0,SSP2-26,C3
IMAGE 3.0.2,EMF33_tax_hi_none,C5
IMAGE 3.0.2,EMF33_tax_lo_full,C5
IMAGE 3.0.2,EMF33_tax_lo_none,C5
WITCH-GLOBIOM 4.2,EMF30_CH4-Only,C7
IMAGE 3.2,SSP1_SPA1_34I_D,C5
IMAGE 3.2,SSP1_SPA1_34I_LI,C5
IMAGE 3.2,SSP1_SPA1_34I_LIRE,C5
IMAGE 3.2,SSP1_SPA1_34I_RE,C5
GCAM 5.3,R_BAU,C7
IMAGE 3.2,SSP2_SPA2_34I_D,C5
IMAGE 3.2,SSP2_SPA2_34I_LI,C5
IMAGE 3.2,SSP2_SPA2_34I_LIRE,C5
IMAGE 3.2,SSP2_SPA2_34I_RE,C5
IMAGE 3.2,SSP2_SPA2_45I_D,C6
IMAGE 3.2,SSP2_SPA2_45I_LI,C6
IMAGE 3.2,SSP2_SPA2_45I_LIRE,C6
IMAGE 3.2,SSP2_SPA2_45I_RE,C6
GCAM 4.2,SSP4-Baseline,C7
POLES CD-LINKS,CD-LINKS_NoPolicy,C7
IMAGE 3.2,SSP5-baseline,C8
MESSAGE-GLOBIOM 1.0,ADVANCE_INDC,C5
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,C6
MESSAGE-GLOBIOM 1.0,EMF30_D_Frozen-EF-EndU,C7
GCAM-PR 5.3,PR_baseline,C7
AIM/Hub-Global 2.0,Baseline,C7
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_max_GDP,C7
IMAGE 3.0,CO_CurPol,C7
POLES GECO2019,CO_BAU,C7
MESSAGEix-GLOBIOM_1.1,EN_NoPolicy,C7
POLES ADVANCE,ADVANCE_Reference,C7
MESSAGE-GLOBIOM 1.0,EMF30_Slower-Action,C5
WITCH 5.0,CO_BAU,C7
POLES EMF33,EMF33_Med2C_limbio,C3
AIM/CGE 2.2,EN_NPi2020_800f,C3
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,C4
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full,C5
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_none,C5
MESSAGE-GLOBIOM 1.0,SSP1-45,C6
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID,C7
MESSAGE-GLOBIOM 1.0,SSP2-45,C6
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance,C7
POLES ENGAGE,EN_NPi2100,C7
MESSAGE-GLOBIOM 1.0,SSP3-45,C5
MESSAGE-GLOBIOM 1.0,SSP3-60,C6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,C7
REMIND-MAgPIE 1.7-3.0,PEP_NPi,C7
REMIND 1.7,ADVANCE_Reference,C7
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_COV_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_2500f_NDCp,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_3000f_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV_NDCp,C6
MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_NDCp,C6
IMAGE 3.2,SSP2_SPA2_26I_D,C3
TIAM-ECN 1.1,EN_NPi2020_900f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000_COV,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f_COV,C6
IMAGE 3.2,SSP2-baseline,C7
WITCH-GLOBIOM 3.1,SSP1-Baseline,C7
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50,C7
POLES GECO2019,CO_CurPol,C7
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,C7
POLES EMF30,EMF30_D_Frozen-CH4,C7
POLES EMF30,EMF30_D_Frozen-EF-SLCF,C7
IMAGE 3.0,EN_NPi2100,C7
REMIND 2.1,CEMICS_NPI,C7
MESSAGEix-GLOBIOM_1.2,COV_Restore,C7
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-Npi,C7
MESSAGEix-GLOBIOM_1.2,COV_SmartUse,C7
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50,C7
POLES ADVANCE,ADVANCE_INDC,C5
REMIND-Transport 2.1,Transport_NPi_Conv,C7
WITCH 5.0,EN_NoPolicy,C7
REMIND 1.6,EMF30_SLCF,C7
WITCH 5.0,CO_CurPol,C7
WITCH-GLOBIOM 3.1,SSP4-Baseline,C7
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDCi,C7
TIAM-ECN 1.1,EN_NPi2100,C7
IMAGE 3.0.1,CD-LINKS_NPi,C7
REMIND 1.6,EMF30_CH4-Only,C7
POLES ENGAGE,EN_NPi2100_COV,C7
TIAM-ECN 1.1,EN_NPi2100_COV,C7
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200,C3
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,C3
POLES EMF33,EMF33_tax_hi_none,C4
POLES EMF33,EMF33_tax_lo_full,C5
POLES EMF33,EMF33_tax_lo_none,C5
POLES ENGAGE,EN_INDCi2030_1600,C5
POLES ENGAGE,EN_INDCi2030_1600f,C5
POLES ENGAGE,EN_INDCi2030_1800,C5
POLES ENGAGE,EN_INDCi2030_1800f,C5
POLES ENGAGE,EN_INDCi2030_2000,C5
POLES ENGAGE,EN_INDCi2030_2000f,C5
POLES ENGAGE,EN_INDCi2030_2500,C6
POLES ENGAGE,EN_INDCi2030_2500f,C6
POLES ENGAGE,EN_INDCi2030_3000,C6
POLES ENGAGE,EN_INDCi2030_3000f,C6
GEM-E3_V2021,EN_NPi2100,C7
AIM/CGE 2.0,SSP1-Baseline,C7
POLES ENGAGE,EN_INDCi2100_COV_NDCp,C6
POLES ENGAGE,EN_INDCi2100_NDCp,C6
POLES ENGAGE,EN_NPi2020_1200,C4
POLES ENGAGE,EN_NPi2020_1800,C5
POLES ENGAGE,EN_NPi2020_1800f,C5
POLES ENGAGE,EN_NPi2020_2000,C5
POLES ENGAGE,EN_NPi2020_2000f,C5
POLES ENGAGE,EN_NPi2020_2500,C6
POLES ENGAGE,EN_NPi2020_2500f,C6
POLES ENGAGE,EN_NPi2020_3000,C6
POLES ENGAGE,EN_NPi2020_3000f,C6
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200_COV,C3
TIAM-ECN 1.1,EN_INDCi2100_NDCp,C7
AIM/CGE 2.1,CO_CurPol,C7
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Base,C7
MESSAGEix-GLOBIOM_1.2,COV_GreenPush,C7
POLES GECO2019,CO_GPP,C5
REMIND-MAgPIE 1.7-3.0,SMP_REF_Sust,C7
POLES GECO2019,CO_NDC_2050convergence,C6
IMAGE 3.0.1,EMF30_SLCF,C7
POLES EMF30,EMF30_BCOC-EndU,C7
POLES EMF33,EMF33_Baseline,C7
POLES EMF30,EMF30_Baseline,C7
POLES EMF30,EMF30_D_BCOC-Red,C7
EPPA 6,ParisForever,C7
REMIND 1.6,EMF30_D_Frozen-CH4,C8
REMIND 1.6,EMF30_D_Frozen-EF,C8
TIAM-ECN 1.1,EN_INDCi2100,C7
REMIND 1.6,EMF30_D_Frozen-EF-SLCF,C8
GCAM 5.2,"NGFS1_Current policies (Hot house world, Rep)",C7
IMAGE 3.0.1,SSP4-Baseline,C7
REMIND 1.6,EMF30_Slower-Action+SLCF,C6
REMIND 1.7,ADVANCE_INDC,C6
WITCH 5.0,EN_NPi2100,C7
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP2_P50,C7
TIAM-ECN 1.1,EN_INDCi2100_COV,C7
IMAGE 3.0.1,EMF30_CH4-Only,C7
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP1_P50,C6
IMAGE 3.0.1,EMF30_D_CH4-ClimPolicy,C7
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP5_P50,C8
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP1_P50,C6
IMAGE 3.0.1,ADVANCE_Reference,C7
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP5_P50,C8
POLES EMF33,EMF33_Med2C_nofuel,C3
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,C5
AIM/CGE 2.1,CD-LINKS_INDCi,C7
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP5_P50,C8
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,C5
POLES GECO2019,CO_GPP_notax,C7
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP5_P50,C8
REMIND 2.1,R2p1_SSP1-Base,C6
REMIND 2.1,R2p1_SSP1-NDC,C5
REMIND 2.1,R2p1_SSP1-NPi,C5
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Npi,C7
REMIND 2.1,R2p1_SSP2-NDC,C5
REMIND 2.1,R2p1_SSP2-NPi,C7
REMIND 2.1,R2p1_SSP5-Base,C8
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,C7
REMIND 2.1,R2p1_SSP5-NPi,C8
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP2_P50,C7
AIM/CGE 2.0,SSP4-Baseline,C7
REMIND-MAgPIE 1.5,SSP1-45,C6
IMAGE 3.0.1,SSP3-60,C7
REMIND-MAgPIE 1.5,SSP2-45,C6
MESSAGE-GLOBIOM 1.0,SSP1-Baseline,C7
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,C7
REMIND-MAgPIE 1.5,SSP5-45,C6
IMAGE 3.0.1,EMF30_D_Frozen-EF,C7
REMIND-MAgPIE 1.5,SSP5-Baseline,C8
IMAGE 3.0.1,CD-LINKS_INDCi,C7
IMAGE 3.0.1,SSP2-60,C7
IMAGE 3.0.1,SSP4-60,C7
REMIND 1.6,EMF30_D_CH4-ClimPolicy,C7
WITCH-GLOBIOM 4.4,CD-LINKS_INDCi,C7
REMIND-MAgPIE 1.7-3.0,CO_GPP,C5
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_min_GDP,C7
REMIND-MAgPIE 1.7-3.0,EMF33_Baseline,C8
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none,C4
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none,C4
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full,C5
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none,C5
REMIND-MAgPIE 1.5,SSP2-60,C7
COFFEE 1.1,CO_BAU,C7
IMAGE 3.2,SSP4-baseline,C7
REMIND-MAgPIE 1.7-3.0,PEP_goodpractice,C6
REMIND-MAgPIE 1.7-3.0,PEP_netzero,C5
IMAGE 3.0.1,SSP5-60,C7
REMIND-MAgPIE 1.5,SSP5-60,C7
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,C7
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,C6
POLES EMF33,EMF33_Med2C_cost100,C3
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,C7
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400f,C4
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000f,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500f,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000f,C6
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV_NDCp,C5
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_NDCp,C5
POLES EMF33,EMF33_Med2C_full,C3
TIAM-ECN 1.1,EN_NPi2020_1000f,C3
REMIND-MAgPIE 1.5,SSP2-26,C3
IMAGE 3.0.1,SSP1-26,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800f,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000f,C5
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500f,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000f,C6
POLES EMF30,EMF30_D_Frozen-EF-EndU,C7
REMIND 2.1,R2p1_SSP5-NDC,C7
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,C7
AIM/CGE 2.2,EN_NPi2020_900f,C3
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-median,C7
GEM-E3_V2021,EN_NPi2100_COV,C7
GCAM-PR 5.3,PR_CP_PriceOnly,C7
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),C5
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-NPi,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,C5
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,C7
TIAM-ECN 1.1,EN_NPi2020_1000f_COV,C3
MESSAGE-GLOBIOM 1.0,SSP2-60,C7
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,C7
POLES ADVANCE,ADVANCE_2020_Med2C,C3
TIAM-ECN 1.1,EN_NPi2020_1200,C3
AIM/CGE 2.2,EN_NPi2020_1200,C3
AIM/CGE 2.2,EN_NPi2020_1000f,C3
TIAM-ECN 1.1,EN_NPi2020_1200f,C3
REMIND-Transport 2.1,Transport_NDC_Conv,C6
POLES ENGAGE,EN_INDCi2100,C7
TIAM-ECN 1.1,EN_INDCi2030_2000,C5
TIAM-ECN 1.1,EN_INDCi2030_2000f,C5
TIAM-ECN 1.1,EN_INDCi2030_2500,C5
TIAM-ECN 1.1,EN_INDCi2030_2500f,C5
TIAM-ECN 1.1,EN_INDCi2030_3000,C6
TIAM-ECN 1.1,EN_INDCi2030_3000f,C6
IMAGE 3.0,CO_NDCplus,C7
MESSAGE-GLOBIOM 1.0,EMF30_D_CH4-ClimPolicy,C7
REMIND-MAgPIE 1.7-3.0,CO_NDCplus,C7
TIAM-ECN 1.1,EN_NPi2020_2500,C5
TIAM-ECN 1.1,EN_NPi2020_2500f,C5
TIAM-ECN 1.1,EN_NPi2020_3000,C6
TIAM-ECN 1.1,EN_NPi2020_3000f,C6
REMIND-MAgPIE 1.7-3.0,PEP_NDC,C7
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDCi,C7
WITCH 4.6,DISCRATE_Ref_dr2p,C8
WITCH 4.6,DISCRATE_Ref_dr3p,C8
WITCH 4.6,DISCRATE_Ref_dr4p,C8
WITCH 4.6,DISCRATE_Ref_dr5p,C8
REMIND-MAgPIE 1.5,SSP1-Baseline,C7
POLES EMF30,EMF30_D_Frozen-EF,C7
WITCH 5.0,CO_GPP,C5
WITCH 5.0,CO_NDC_2050convergence,C5
WITCH 5.0,CO_NDCplus,C6
WITCH 5.0,EN_INDCi2030_1600,C5
WITCH 5.0,EN_INDCi2030_1600_NDCp,C5
WITCH 5.0,EN_INDCi2030_1600f,C5
WITCH 5.0,EN_INDCi2030_1600f_NDCp,C5
WITCH 5.0,EN_INDCi2030_1800,C5
WITCH 5.0,EN_INDCi2030_1800_NDCp,C5
WITCH 5.0,EN_INDCi2030_1800f,C5
WITCH 5.0,EN_INDCi2030_1800f_NDCp,C5
WITCH 5.0,EN_INDCi2030_2000,C5
WITCH 5.0,EN_INDCi2030_2000_NDCp,C5
WITCH 5.0,EN_INDCi2030_2000f,C5
WITCH 5.0,EN_INDCi2030_2000f_NDCp,C5
WITCH 5.0,EN_INDCi2030_2500,C5
WITCH 5.0,EN_INDCi2030_2500_NDCp,C5
WITCH 5.0,EN_INDCi2030_2500f,C5
WITCH 5.0,EN_INDCi2030_2500f_NDCp,C5
WITCH 5.0,EN_INDCi2030_3000,C6
WITCH 5.0,EN_INDCi2030_3000_NDCp,C6
WITCH 5.0,EN_INDCi2030_3000f,C6
WITCH 5.0,EN_INDCi2030_3000f_NDCp,C6
WITCH 5.0,EN_INDCi2100,C6
WITCH 5.0,EN_INDCi2100_NDCp,C6
WITCH 5.0,EN_NPi2020_1400,C4
WITCH 5.0,EN_NPi2020_1600,C4
WITCH 5.0,EN_NPi2020_1600f,C4
WITCH 5.0,EN_NPi2020_1800,C5
WITCH 5.0,EN_NPi2020_1800f,C5
WITCH 5.0,EN_NPi2020_2000,C5
WITCH 5.0,EN_NPi2020_2000f,C5
WITCH 5.0,EN_NPi2020_2500,C5
WITCH 5.0,EN_NPi2020_2500f,C5
WITCH 5.0,EN_NPi2020_3000,C6
WITCH 5.0,EN_NPi2020_3000f,C6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,C7
IMAGE 3.0,EN_INDCi2100,C7
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_min_GDP,C7
WITCH-GLOBIOM 3.1,SSP2-Baseline,C8
WITCH-GLOBIOM 3.1,SSP3-Baseline,C8
IMAGE 3.2,SSP1-baseline,C7
WITCH-GLOBIOM 3.1,SSP5-Baseline,C8
WITCH-GLOBIOM 4.2,ADVANCE_NoPolicy,C8
WITCH-GLOBIOM 4.2,EMF30_BCOC-EndU,C8
WITCH-GLOBIOM 4.2,EMF30_Baseline,C8
POLES GECO2019,CO_NDCplus,C7
WITCH-GLOBIOM 4.2,EMF30_D_BCOC-Red,C8
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-CH4,C8
POLES ENGAGE,EN_INDCi2100_COV,C7
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF-EndU,C8
WITCH-GLOBIOM 4.2,EMF30_D_Frozen-EF-SLCF,C8
GCAM 5.3,NGFS2_Current Policies,C7
IMAGE 3.0.1,SSP1-Baseline,C7
GEM-E3_V2021,EN_INDCi2100,C7
REMIND 1.6,EMF30_Slower-Action,C7